couldn	'	t	couldn't	couldn_t
didn	'	t	didn't	didn_t
doesn	'	t	doesn't	doesn_t
don	'	t	don't	don_t
hadn	'	t	hadn't	hadn_t
hasn	'	t	hasn't	hasn_t
haven	'	t	haven't	haven_t
he	'	s	he's	he_s
how	'	d	how'd	how_d
how	'	s	how's	how_s
i	'	d	i'd	i_d
i	'	ll	i'll	i_ll
i	'	m	i'm	i_m
i	'	ve	i've	i_ve
isn	'	t	isn't	isn_t
it	'	d	it'd	it_d
it	'	ll	it'll	it_ll
it	'	s	it's	it_s
let	'	s	let's	let_s
might	'	ve	might've	might_ve
mightn	'	t	mightn't	mightn_t
must	'	ve	must've	must_ve
mustn	'	t	mustn't	mustn_t
needn	'	t	needn't	needn_t
shan	'	t	shan't	shan_t
she	'	d	she'd	she_d
she	'	ll	she'll	she_ll
she	'	s	she's	she_s
should	'	ve	should've	should_ve
shouldn	'	t	shouldn't	shouldn_t
so	'	s	so's	so_s
that	'	s	that's	that_s
there	'	s	there's	there_s
they	'	ll	they'll	they_ll
they	'	re	they're	they_re
wasn	'	t	wasn't	wasn_t
we	'	d	we'd	we_d
we	'	ll	we'll	we_ll
we	'	re	we're	we_re
we	'	ve	we've	we_ve
weren	'	t	weren't	weren_t
what	'	re	what're	what_re
what	'	s	what's	what_s
what	'	ve	what've	what_ve
when	'	s	when's	when_s
where	'	s	where's	where_s
who	'	ll	who'll	who_ll
who	'	s	who's	who_s
why	'	s	why's	why_s
won	'	t	won't	won_t
won	'	t	won't've	won_t_ve
would	'	ve	would've	would_ve
wouldn	'	t	wouldn't	wouldn_t
you	'	ll	you'll	you_ll
you	'	re	you're	you_re
o	'	clock	o'clock	o_clock
